Date,Time (UTC),Year,Vehicle,Payload,Payload Mass (kg),Orbit,Orbit Category
2023-06-22,07:19:00,2023,Falcon 9,Starlink: Group 5-7 (47 satellites),14500,LEO,LEO (Starlink)
2023-06-23,15:35:00,2023,Falcon 9,Starlink: Group 5-12 (56 satellites),17400,LEO,LEO (Starlink)
2023-07-01,15:12:00,2023,Falcon 9,Euclid,2160,Sun–Earth L2 injection,Other
2023-07-07,19:29:00,2023,Falcon 9,Starlink: Group 5-13 (48 satellites),14900,LEO,LEO (Starlink)
2023-07-10,03:58:00,2023,Falcon 9,Starlink: Group 6-5 (22 satellites),16100,LEO,LEO (Starlink)
2023-07-16,03:50:00,2023,Falcon 9,Starlink: Group 5-15 (54 satellites),16700,LEO,LEO (Starlink)
2023-07-20,04:09:00,2023,Falcon 9,Starlink: Group 6-15 (15 satellites),12000,LEO,LEO (Starlink)
2023-07-24,00:50:00,2023,Falcon 9,Starlink: Group 6-6 (22 satellites),16100,LEO,LEO (Starlink)
2023-07-28,04:01:00,2023,Falcon 9,Starlink: Group 6-7 (22 satellites),16100,LEO,LEO (Starlink)
2023-07-29,03:04:00,2023,Falcon Heavy,Jupiter-3 (EchoStar-24)[128],9200,GTO,GTO/GEO
2023-08-03,05:00:00,2023,Falcon 9,Galaxy 37,5063,GTO,GTO/GEO
2023-08-07,02:41:00,2023,Falcon 9,Starlink: Group 6-8 (22 satellites),16100,LEO,LEO (Starlink)
2023-08-08,03:57:00,2023,Falcon 9,Starlink: Group 6-20 (15 satellites),12000,LEO,LEO (Starlink)
2023-08-11,05:17:00,2023,Falcon 9,Starlink: Group 6-9 (22 satellites),16100,LEO,LEO (Starlink)
2023-08-17,03:36:00,2023,Falcon 9,Starlink: Group 6-10 (22 satellites),16100,LEO,LEO (Starlink)
2023-08-22,09:37:00,2023,Falcon 9,Starlink: Group 7-1 (21 satellites),15300,LEO,LEO (Starlink)
2023-08-26,07:27:00,2023,Falcon 9,Crew-7[143] (Crew Dragon C210.3 Endurance),13000,LEO (ISS),LEO (Other)
2023-08-27,01:05:00,2023,Falcon 9,Starlink: Group 6-11 (22 satellites),16100,LEO,LEO (Starlink)
2023-09-01,02:21:00,2023,Falcon 9,Starlink: Group 6-13 (22 satellites),16100,LEO,LEO (Starlink)
2023-09-02,02:21:00,2023,Falcon 9,SDA Tranche 0B (13 satellites),0,LEO,LEO (Other)
2023-09-04,02:47:00,2023,Falcon 9,Starlink: Group 6-12 (22 satellites),15300,LEO,LEO (Starlink)
2023-09-09,03:12:00,2023,Falcon 9,Starlink: Group 6-14 (22 satellites),16100,LEO,LEO (Starlink)
2023-09-12,06:57:00,2023,Falcon 9,Starlink: Group 7-2 (21 satellites),15300,LEO,LEO (Starlink)
2023-09-16,03:38:00,2023,Falcon 9,Starlink: Group 6-16 (22 satellites),16100,LEO,LEO (Starlink)
2023-09-20,03:38:00,2023,Falcon 9,Starlink: Group 6-17 (22 satellites),16100,LEO,LEO (Starlink)
2023-09-24,03:38:00,2023,Falcon 9,Starlink: Group 6-18 (22 satellites),16100,LEO,LEO (Starlink)
2023-09-25,08:48:00,2023,Falcon 9,Starlink: Group 7-3 (21 satellites),15300,LEO,LEO (Starlink)
2023-09-30,02:00:00,2023,Falcon 9,Starlink: Group 6-19 (22 satellites),16100,LEO,LEO (Starlink)
2023-10-05,05:36:00,2023,Falcon 9,Starlink: Group 6-21 (22 satellites),16100,LEO,LEO (Starlink)
2023-10-09,07:23:00,2023,Falcon 9,Starlink: Group 7-4 (21 satellites),15300,LEO,LEO (Starlink)
2023-10-13,14:19:00,2023,Falcon Heavy,Psyche[163],2608,Heliocentric,Heliocentric
2023-10-13,23:01:00,2023,Falcon 9,Starlink: Group 6-22 (22 satellites),16100,LEO,LEO (Starlink)
2023-10-18,00:39:00,2023,Falcon 9,Starlink: Group 6-23 (22 satellites),16100,LEO,LEO (Starlink)
2023-10-21,08:23:00,2023,Falcon 9,Starlink: Group 7-5 (21 satellites),15300,LEO,LEO (Starlink)
2023-10-22,02:17:00,2023,Falcon 9,Starlink: Group 6-24 (23 satellites),16800,LEO,LEO (Starlink)
2023-10-29,09:00:00,2023,Falcon 9,Starlink: Group 7-6 (22 satellites),16100,LEO,LEO (Starlink)
2023-10-30,23:20:00,2023,Falcon 9,Starlink: Group 6-25 (23 satellites),16800,LEO,LEO (Starlink)
2023-11-04,00:37:00,2023,Falcon 9,Starlink: Group 6-26 (23 satellites),16800,LEO,LEO (Starlink)
2023-11-08,05:05:00,2023,Falcon 9,Starlink: Group 6-27 (23 satellites),16800,LEO,LEO (Starlink)
2023-11-10,01:28:00,2023,Falcon 9,SpaceX CRS-29 (Dragon C211.2),9525,LEO (ISS),LEO (Other)
2023-11-11,18:49:00,2023,Falcon 9,Transporter-9 (113 payload smallsat rideshare),0,SSO,SSO (Other)
2023-11-12,21:08:00,2023,Falcon 9,O3b mPOWER 5 & 6,4100,MEO,MEO
2023-11-18,05:05:00,2023,Falcon 9,Starlink: Group 6-28 (23 satellites),16800,LEO,LEO (Starlink)
2023-11-18,13:02:00,2023,Block 1 Starship,Starship Test,0,Transatmospheric[17],Transatmospheric
2023-11-20,10:30:00,2023,Falcon 9,Starlink: Group 7-7 (22 satellites),16100,LEO,LEO (Starlink)
2023-11-22,07:47:00,2023,Falcon 9,Starlink: Group 6-29 (23 satellites),16800,LEO,LEO (Starlink)
2023-11-28,04:20:00,2023,Falcon 9,Starlink: Group 6-30 (23 satellites),16800,LEO,LEO (Starlink)
2023-12-01,18:19:00,2023,Falcon 9,425 Project Flight 1[184]EIRSAT-1 and others 23 secondary payloads[185],800,SSO,SSO (Other)
2023-12-03,04:00:00,2023,Falcon 9,Starlink: Group 6-31 (23 satellites),16800,LEO,LEO (Starlink)
2023-12-07,05:07:00,2023,Falcon 9,Starlink: Group 6-33 (23 satellites),16800,LEO,LEO (Starlink)
2023-12-08,08:03:00,2023,Falcon 9,Starlink: Group 7-8 (22 satellites),16100,LEO,LEO (Starlink)
2023-12-19,04:01:00,2023,Falcon 9,Starlink: Group 6-34 (23 satellites),16800,LEO,LEO (Starlink)
2023-12-23,05:33:00,2023,Falcon 9,Starlink: Group 6-32 (23 satellites),16800,LEO,LEO (Starlink)
2023-12-24,13:11:00,2023,Falcon 9,SARah 2 & 3[197],3600,SSO,SSO (Other)
2023-12-29,01:07:00,2023,Falcon Heavy,USSF-52 (Boeing X-37B OTV-7),6350,High Elliptical HEO[201],Other
2023-12-29,04:01:00,2023,Falcon 9,Starlink: Group 6-36 (23 satellites),16800,LEO,LEO (Starlink)
2024-01-03,03:44:00,2024,Falcon 9,Starlink: Group 7-9 (22 satellites),16800,LEO,LEO (Starlink)
2024-01-03,23:04:00,2024,Falcon 9,Ovzon-3,1800,GTO,GTO/GEO
2024-01-07,22:35:00,2024,Falcon 9,Starlink: Group 6-35 (23 satellites),17100,LEO,LEO (Starlink)
2024-01-14,08:59:00,2024,Falcon 9,Starlink: Group 7-10 (22 satellites),16700,LEO,LEO (Starlink)
2024-01-15,01:52:00,2024,Falcon 9,Starlink: Group 6-37 (23 satellites),17100,LEO,LEO (Starlink)
2024-01-18,21:49:00,2024,Falcon 9,Ax-3 (Crew Dragon C212-3 Freedom),13000,LEO (ISS),LEO (Other)
2024-01-24,00:35:00,2024,Falcon 9,Starlink: Group 7-11 (22 satellites),16700,LEO,LEO (Starlink)
2024-01-29,01:10:00,2024,Falcon 9,Starlink: Group 6-38 (23 satellites),17100,LEO,LEO (Starlink)
2024-01-29,05:57:00,2024,Falcon 9,Starlink: Group 7-12 (22 satellites),16700,LEO,LEO (Starlink)
2024-01-30,17:07:00,2024,Falcon 9,CRS NG-20,3726,LEO (ISS),LEO (Other)
2024-02-08,06:33:00,2024,Falcon 9,PACE,1694,SSO,SSO (Other)
2024-02-10,00:34:00,2024,Falcon 9,Starlink: Group 7-13 (22 satellites),16700,LEO,LEO (Starlink)
2024-02-14,22:30:00,2024,Falcon 9,USSF-124 (6 satellites),0,LEO,LEO (Other)
2024-02-15,06:05:00,2024,Falcon 9,IM-1 Nova-C Odysseus lander,1931,TLI,Other
2024-02-15,21:34:00,2024,Falcon 9,Starlink: Group 7-14 (22 satellites),16700,LEO,LEO (Starlink)
2024-02-20,20:11:00,2024,Falcon 9,Telkomsat HTS 113BT,4000,GTO,GTO/GEO
2024-02-23,04:11:00,2024,Falcon 9,Starlink: Group 7-15 (22 satellites),16700,LEO,LEO (Starlink)
2024-02-25,22:06:00,2024,Falcon 9,Starlink: Group 6-39 (24 satellites),17500,LEO,LEO (Starlink)
2024-02-29,15:30:00,2024,Falcon 9,Starlink: Group 6-40 (23 satellites),17100,LEO,LEO (Starlink)
2024-03-04,03:53:00,2024,Falcon 9,Crew-8 (Crew Dragon C206-5 Endeavour),13000,LEO (ISS),LEO (Other)
2024-03-04,22:05:00,2024,Falcon 9,Transporter-10 (53 payload smallsat rideshare),0,SSO,SSO (Other)
2024-03-04,23:56:00,2024,Falcon 9,Starlink: Group 6-41 (23 satellites),17100,LEO,LEO (Starlink)
2024-03-10,23:05:00,2024,Falcon 9,Starlink: Group 6-43 (23 satellites),17100,LEO,LEO (Starlink)
2024-03-11,04:09:00,2024,Falcon 9,Starlink: Group 7-17 (23 satellites),17100,LEO,LEO (Starlink)
2024-03-14,13:25:00,2024,Block 1 Starship,Starship Test,0,Suborbital[21],Other
2024-03-16,00:21:00,2024,Falcon 9,Starlink: Group 6-44 (23 satellites),17100,LEO,LEO (Starlink)
2024-03-19,02:28:00,2024,Falcon 9,Starlink: Group 7-16 (20 satellites) + 2 Starshield satellites,16300,LEO,LEO (Starlink)
2024-03-21,20:55:00,2024,Falcon 9,SpaceX CRS-30 (Dragon C209-4),2721,LEO (ISS),LEO (Other)
2024-03-24,03:09:00,2024,Falcon 9,Starlink: Group 6-42 (23 satellites),17100,LEO,LEO (Starlink)
2024-03-25,23:42:00,2024,Falcon 9,Starlink: Group 6-46 (23 satellites),17100,LEO,LEO (Starlink)
2024-03-30,21:52:00,2024,Falcon 9,Eutelsat 36D,5000,GTO,GTO/GEO
2024-03-31,01:30:00,2024,Falcon 9,Starlink: Group 6-45 (23 satellites),17100,LEO,LEO (Starlink)
2024-04-02,02:30:00,2024,Falcon 9,Starlink: Group 7-18 (22 satellites),16700,LEO,LEO (Starlink)
2024-04-05,09:12:00,2024,Falcon 9,Starlink: Group 6-47 (23 satellites),17100,LEO,LEO (Starlink)
2024-04-07,02:25:00,2024,Falcon 9,Starlink: Group 8-1 (21 satellites),16800,LEO,LEO (Starlink)
2024-04-07,23:16:00,2024,Falcon 9,"Bandwagon-1 (11 payload smallsat rideshare)
425 Project Flight 2",0,LEO,LEO (Other)
2024-04-10,05:40:00,2024,Falcon 9,Starlink: Group 6-48 (23 satellites),17100,LEO,LEO (Starlink)
2024-04-11,14:25:00,2024,Falcon 9,USSF-62 (WSF-M 1),1200,SSO,SSO (Other)
2024-04-13,01:40:00,2024,Falcon 9,Starlink: Group 6-49 (23 satellites),17100,LEO,LEO (Starlink)
2024-04-17,21:26:00,2024,Falcon 9,Starlink: Group 6-51 (23 satellites),17100,LEO,LEO (Starlink)
2024-04-18,22:40:00,2024,Falcon 9,Starlink: Group 6-52 (23 satellites),17100,LEO,LEO (Starlink)
2024-04-23,22:17:00,2024,Falcon 9,Starlink: Group 6-53 (23 satellites),17100,LEO,LEO (Starlink)
2024-04-28,00:34:00,2024,Falcon 9,Galileo-L12 (FOC FM25 & FM27),1600,MEO,MEO
2024-04-28,22:08:00,2024,Falcon 9,Starlink: Group 6-54 (23 satellites),17100,LEO,LEO (Starlink)
2024-05-02,18:36:00,2024,Falcon 9,WorldView Legion 1 & 2,1500,SSO,SSO (Other)
2024-05-03,02:37:00,2024,Falcon 9,Starlink: Group 6-55 (23 satellites),17100,LEO,LEO (Starlink)
2024-05-06,18:14:00,2024,Falcon 9,Starlink: Group 6-57 (23 satellites),17100,LEO,LEO (Starlink)
2024-05-08,18:42:00,2024,Falcon 9,Starlink: Group 6-56 (23 satellites),17100,LEO,LEO (Starlink)
2024-05-10,04:30:00,2024,Falcon 9,Starlink: Group 8-2 (20 satellites),16300,LEO,LEO (Starlink)
2024-05-13,00:53:00,2024,Falcon 9,Starlink: Group 6-58 (23 satellites),17100,LEO,LEO (Starlink)
2024-05-14,18:39:00,2024,Falcon 9,Starlink: Group 8-7 (20 satellites),16300,LEO,LEO (Starlink)
2024-05-18,00:32:00,2024,Falcon 9,Starlink: Group 6-59 (23 satellites),17100,LEO,LEO (Starlink)
2024-05-22,08:00:00,2024,Falcon 9,NROL-146 (21 Starshield satellites),0,SSO,SSO (Other)
2024-05-23,02:35:00,2024,Falcon 9,Starlink: Group 6-62 (23 satellites),17100,LEO,LEO (Starlink)
2024-05-24,02:45:00,2024,Falcon 9,Starlink: Group 6-63 (23 satellites),17100,LEO,LEO (Starlink)
2024-05-28,14:24:00,2024,Falcon 9,Starlink: Group 6-60 (23 satellites),17100,LEO,LEO (Starlink)
2024-05-28,22:20:00,2024,Falcon 9,EarthCARE,2350,SSO,SSO (Other)
2024-06-01,02:37:00,2024,Falcon 9,Starlink: Group 6-64 (23 satellites),17100,LEO,LEO (Starlink)
2024-06-05,02:16:00,2024,Falcon 9,Starlink: Group 8-5 (20 satellites),16300,LEO,LEO (Starlink)
2024-06-06,12:50:00,2024,Block 1 Starship,Starship Test,0,Suborbital[28],Other
2024-06-08,01:56:00,2024,Falcon 9,Starlink: Group 10-1 (22 satellites),16700,LEO,LEO (Starlink)
2024-06-08,12:58:00,2024,Falcon 9,Starlink: Group 8-8 (20 satellites),16300,LEO,LEO (Starlink)
2024-06-19,03:40:00,2024,Falcon 9,Starlink: Group 9-1 (20 satellites),16300,LEO,LEO (Starlink)
2024-06-20,21:35:00,2024,Falcon 9,Astra 1P,5000,GTO,GTO/GEO
2024-06-23,17:15:00,2024,Falcon 9,Starlink: Group 10-2 (22 satellites),16700,LEO,LEO (Starlink)
2024-06-24,03:47:00,2024,Falcon 9,Starlink: Group 9-2 (20 satellites),16300,LEO,LEO (Starlink)
2024-06-25,21:26:00,2024,Falcon Heavy,GOES-U (GOES-19)[127],5000,GTO,GTO/GEO
2024-06-27,11:14:00,2024,Falcon 9,Starlink: Group 10-3 (23 satellites),17100,LEO,LEO (Starlink)
2024-06-29,03:14:00,2024,Falcon 9,NROL-186 (~21 Starshield satellites),0,SSO,SSO (Other)
2024-07-03,08:55:00,2024,Falcon 9,Starlink: Group 8-9 (20 satellites),16300,LEO,LEO (Starlink)
2024-07-08,23:30:00,2024,Falcon 9,Türksat 6A,4250,GTO,GTO/GEO
2024-07-12,02:35:00,2024,Falcon 9,Starlink: Group 9-3 (20 satellites),0,LEO,LEO (Starlink)
2024-07-27,05:45:00,2024,Falcon 9,Starlink: Group 10-9 (23 satellites),17100,LEO,LEO (Starlink)
2024-07-28,05:09:00,2024,Falcon 9,Starlink: Group 10-4 (23 satellites),17100,LEO,LEO (Starlink)
2024-07-28,09:22:00,2024,Falcon 9,Starlink: Group 9-4 (21 satellites),16500,LEO,LEO (Starlink)
2024-08-02,05:01:00,2024,Falcon 9,Starlink: Group 10-6 (23 satellites),17100,LEO,LEO (Starlink)
2024-08-04,07:24:00,2024,Falcon 9,Starlink: Group 11-1 (23 satellites),17100,LEO,LEO (Starlink)
2024-08-04,15:02:00,2024,Falcon 9,CRS NG-21,3857,LEO (ISS),LEO (Other)
2024-08-10,12:50:00,2024,Falcon 9,Starlink: Group 8-3 (21 satellites),16500,LEO,LEO (Starlink)
2024-08-12,02:02:00,2024,Falcon 9,ASBM 1 (GX 10A) & ASBM 2 (GX 10B),7230,Molniya,Other
2024-08-12,10:37:00,2024,Falcon 9,Starlink: Group 10-7 (23 satellites),17100,LEO,LEO (Starlink)
2024-08-15,13:00:00,2024,Falcon 9,WorldView Legion 3 & 4,1500,LEO,LEO (Other)
2024-08-16,18:56:00,2024,Falcon 9,Transporter-11 (116 payload smallsat rideshare),0,SSO,SSO (Other)
2024-08-20,13:20:00,2024,Falcon 9,Starlink: Group 10-5 (23 satellites),16700,LEO,LEO (Starlink)
2024-08-28,07:48:00,2024,Falcon 9,Starlink: Group 8-6 (21 satellites),16700,LEO,LEO (Starlink)
2024-08-31,07:43:00,2024,Falcon 9,Starlink: Group 8-10 (21 satellites),16700,LEO,LEO (Starlink)
2024-08-31,08:48:00,2024,Falcon 9,Starlink: Group 9-5 (21 satellites),16700,LEO,LEO (Starlink)
2024-09-05,15:33:00,2024,Falcon 9,Starlink: Group 8-11 (21 satellites),16700,LEO,LEO (Starlink)
2024-09-06,03:20:00,2024,Falcon 9,NROL-113 (21 Starshield satellites),0,LEO,LEO (Other)
2024-09-10,09:23:00,2024,Falcon 9,Polaris Dawn (Crew Dragon C207-3 Resilience),13000,LEO,LEO (Other)
2024-09-12,08:52:00,2024,Falcon 9,BlueBird Block 1 (5 satellites)[173],7500,LEO,LEO (Other)
2024-09-13,01:45:00,2024,Falcon 9,Starlink: Group 9-6 (21 satellites),16700,LEO,LEO (Starlink)
2024-09-17,22:50:00,2024,Falcon 9,Galileo-L13 (FOC FM26 & FM32),1600,MEO,MEO
2024-09-20,13:50:00,2024,Falcon 9,Starlink: Group 9-17 (20 satellites),16300,LEO,LEO (Starlink)
2024-09-25,04:01:00,2024,Falcon 9,Starlink: Group 9-8 (20 satellites),16300,LEO,LEO (Starlink)
2024-09-28,17:17:00,2024,Falcon 9,Crew-9 (Crew Dragon C212-4 Freedom),13000,LEO (ISS),LEO (Other)
2024-10-07,14:52:00,2024,Falcon 9,Hera,1108,Heliocentric,Heliocentric
2024-10-13,12:25:00,2024,Block 1 Starship,Starship Test,0,Suborbital[34],Other
2024-10-14,16:06:00,2024,Falcon Heavy,Europa Clipper,6065,Heliocentric,Heliocentric
2024-10-15,06:10:00,2024,Falcon 9,Starlink: Group 10-10 (23 satellites),17100,LEO,LEO (Starlink)
2024-10-15,08:21:00,2024,Falcon 9,Starlink: Group 9-7 (20 satellites),16300,LEO,LEO (Starlink)
2024-10-18,23:31:00,2024,Falcon 9,Starlink: Group 8-19 (20 satellites),16300,LEO,LEO (Starlink)
2024-10-20,05:13:00,2024,Falcon 9,OneWeb #20 (20 satellites),2954,Polar LEO,LEO (Other)
2024-10-23,21:47:00,2024,Falcon 9,Starlink: Group 6-61 (23 satellites),17100,LEO,LEO (Starlink)
2024-10-24,17:13:00,2024,Falcon 9,NROL-167 (~17 Starshield satellites),0,LEO,LEO (Other)
2024-10-26,21:47:00,2024,Falcon 9,Starlink: Group 10-8 (22 satellites),16700,LEO,LEO (Starlink)
2024-10-30,12:07:00,2024,Falcon 9,Starlink: Group 9-9 (20 satellites),16300,LEO,LEO (Starlink)
2024-10-30,21:10:00,2024,Falcon 9,Starlink: Group 10-13 (23 satellites),17100,LEO,LEO (Starlink)
2024-11-05,02:29:00,2024,Falcon 9,SpaceX CRS-31 (Cargo Dragon C208-5),2762,LEO (ISS),LEO (Other)
2024-11-07,20:19:00,2024,Falcon 9,Starlink: Group 6-77 (23 satellites),17100,LEO,LEO (Starlink)
2024-11-09,06:14:00,2024,Falcon 9,Starlink: Group 9-10 (20 satellites),16300,LEO,LEO (Starlink)
2024-11-11,17:22:00,2024,Falcon 9,Koreasat 6A,3900,GTO,GTO/GEO
2024-11-11,21:28:00,2024,Falcon 9,Starlink: Group 6-69 (24 satellites),17500,LEO,LEO (Starlink)
2024-11-14,05:23:00,2024,Falcon 9,Starlink: Group 9-11 (20 satellites),16300,LEO,LEO (Starlink)
2024-11-14,13:21:00,2024,Falcon 9,Starlink: Group 6-68 (24 satellites),17500,LEO,LEO (Starlink)
2024-11-17,22:28:00,2024,Falcon 9,Optus-X/TD7,4000,GTO,GTO/GEO
2024-11-18,05:53:00,2024,Falcon 9,Starlink: Group 9-12 (20 satellites),16300,LEO,LEO (Starlink)
2024-11-18,18:31:00,2024,Falcon 9,GSAT-20 (GSAT-N2),4700,GTO,GTO/GEO
2024-11-19,22:00:00,2024,Block 1 Starship,Plush banana,0,Transatmospheric[36],Transatmospheric
2024-11-21,16:07:00,2024,Falcon 9,Starlink: Group 6-66 (24 satellites),17500,LEO,LEO (Starlink)
2024-11-24,05:25:00,2024,Falcon 9,Starlink: Group 9-13 (20 satellites),16300,LEO,LEO (Starlink)
2024-11-25,10:02:00,2024,Falcon 9,Starlink: Group 12-1 (23 satellites),17100,LEO,LEO (Starlink)
2024-11-27,04:41:00,2024,Falcon 9,Starlink: Group 6-76 (24 satellites),17500,LEO,LEO (Starlink)
2024-11-30,05:00:00,2024,Falcon 9,Starlink: Group 6-65 (24 satellites),17500,LEO,LEO (Starlink)
2024-11-30,08:10:00,2024,Falcon 9,NROL-126 (2 Starshield satellites) + Starlink: Group N-01[228] (20 satellites),16100,LEO,LEO (Starlink)
2024-12-04,10:13:00,2024,Falcon 9,Starlink: Group 6-70 (24 satellites),17500,LEO,LEO (Starlink)
2024-12-05,03:05:00,2024,Falcon 9,Starlink: Group 9-14 (20 satellites),16300,LEO,LEO (Starlink)
2024-12-05,16:10:00,2024,Falcon 9,SXM-9,7000,GTO,GTO/GEO
2024-12-08,05:12:00,2024,Falcon 9,Starlink: Group 12-5 (23 satellites),17100,LEO,LEO (Starlink)
2024-12-13,21:55:00,2024,Falcon 9,Starlink: Group 11-2 (22 satellites),16700,LEO,LEO (Starlink)
2024-12-17,00:52:00,2024,Falcon 9,GPS III-7 (RRT-1)[237][238],4350,MEO,MEO
2024-12-17,13:19:00,2024,Falcon 9,NROL-149 (22 Starshield satellites)[240],0,LEO,LEO (Other)
2024-12-17,22:26:00,2024,Falcon 9,O3b mPOWER 7 & 8,3400,MEO,MEO
2024-12-21,11:34:00,2024,Falcon 9,Bandwagon-2 (30 payload smallsat rideshare)[68][88]425 Project Flight 3,800,LEO,LEO (Other)
2024-12-23,05:35:00,2024,Falcon 9,Starlink: Group 12-2 (21 satellites),16500,LEO,LEO (Starlink)
2024-12-29,01:58:00,2024,Falcon 9,Starlink: Group 11-3 (22 satellites),16700,LEO,LEO (Starlink)
2024-12-29,05:00:00,2024,Falcon 9,Astranis: From One to Many (4 satellites),1600,GTO,GTO/GEO
2024-12-31,05:39:00,2024,Falcon 9,Starlink: Group 12-6 (21 satellites),16500,LEO,LEO (Starlink)
2025-01-04,01:27:00,2025,Falcon 9,Thuraya 4-NGS,5000,GTO,GTO/GEO
2025-01-06,20:43:00,2025,Falcon 9,Starlink: Group 6‑71 (24 satellites),17500,LEO,LEO (Starlink)
2025-01-08,15:27:00,2025,Falcon 9,Starlink: Group 12-11 (21 satellites),16500,LEO,LEO (Starlink)
2025-01-10,03:53:00,2025,Falcon 9,NROL-153 (22 Starshield satellites)[260],0,LEO,LEO (Other)
2025-01-10,19:11:00,2025,Falcon 9,Starlink: Group 12-12 (21 satellites),16500,LEO,LEO (Starlink)
2025-01-13,16:47:00,2025,Falcon 9,Starlink: Group 12-4 (21 satellites),16500,LEO,LEO (Starlink)
2025-01-14,19:09:00,2025,Falcon 9,Transporter-12 (131 payload smallsat rideshare),2000,SSO,SSO (Other)
2025-01-15,06:11:00,2025,Falcon 9,Blue Ghost Mission 1,2517,TLI,Other
2025-01-16,22:37:00,2025,Block 2 Starship,10 Starlink simulator satellites[41],0,Transatmospheric[44],Other
2025-01-21,05:24:00,2025,Falcon 9,Starlink: Group 13-1 (21 satellites) + 2 Starshield satellites,15300,LEO,LEO (Starlink)
2025-01-21,15:45:00,2025,Falcon 9,Starlink: Group 11-8 (27 satellites),15500,LEO,LEO (Starlink)
2025-01-24,14:07:00,2025,Falcon 9,Starlink: Group 11-6 (23 satellites),17100,LEO,LEO (Starlink)
2025-01-27,22:05:00,2025,Falcon 9,Starlink: Group 12-7 (21 satellites),16500,LEO,LEO (Starlink)
2025-01-30,01:34:00,2025,Falcon 9,Spainsat NG I,6100,GTO,GTO/GEO
2025-02-01,23:02:00,2025,Falcon 9,Starlink: Group 11-4 (22 satellites),16700,LEO,LEO (Starlink)
2025-02-04,10:15:00,2025,Falcon 9,Starlink: Group 12-3 (21 satellites),16500,LEO,LEO (Starlink)
2025-02-04,23:13:00,2025,Falcon 9,WorldView Legion 5 & 6 (2 satellites),1500,LEO,LEO (Other)
2025-02-08,19:18:00,2025,Falcon 9,Starlink: Group 12-9 (21 satellites),16500,LEO,LEO (Starlink)
2025-02-11,02:09:00,2025,Falcon 9,Starlink: Group 11-10 (23 satellites),17100,LEO,LEO (Starlink)
2025-02-11,18:53:00,2025,Falcon 9,Starlink: Group 12-18 (21 satellites),16500,LEO,LEO (Starlink)
2025-02-15,06:14:00,2025,Falcon 9,Starlink: Group 12-8 (21 satellites),16500,LEO,LEO (Starlink)
2025-02-18,23:21:00,2025,Falcon 9,Starlink: Group 10-12 (23 satellites),17100,LEO,LEO (Starlink)
2025-02-21,15:19:00,2025,Falcon 9,Starlink: Group 12-14 (23 satellites),17100,LEO,LEO (Starlink)
2025-02-23,01:38:00,2025,Falcon 9,Starlink: Group 15-1 (22 satellites),16800,LEO,LEO (Starlink)
2025-02-27,00:16:00,2025,Falcon 9,"IM-2 Nova-C ""Athena"" lunar landerLunar TrailblazerBrokkr-2 Odin[293]Chimera-1TBD",0,TLI,Other
2025-02-27,03:34:00,2025,Falcon 9,Starlink: Group 12-13 (21 satellites),16500,LEO,LEO (Starlink)
2025-03-03,02:24:00,2025,Falcon 9,Starlink: Group 12-20 (21 satellites),16500,LEO,LEO (Starlink)
2025-03-06,23:31:00,2025,Block 2 Starship,4 Starlink simulator satellites[48],0,Transatmospheric,Other
2025-03-12,03:10:00,2025,Falcon 9,SPHERExPUNCH[302],758,SSO,SSO (Other)
2025-03-13,02:35:00,2025,Falcon 9,Starlink: Group 12-21,16500,LEO,LEO (Starlink)
2025-03-14,23:03:00,2025,Falcon 9,Crew-10 (Crew Dragon C210-4 Endurance),13000,LEO (ISS),LEO (Other)
2025-03-15,06:43:00,2025,Falcon 9,Transporter-13 (74 payload smallsat rideshare)[68],0,SSO,SSO (Other)
2025-03-15,11:35:00,2025,Falcon 9,Starlink: Group 12-16,17100,LEO,LEO (Starlink)
2025-03-18,19:57:00,2025,Falcon 9,Starlink: Group 12-25,17100,LEO,LEO (Starlink)
2025-03-21,06:49:00,2025,Falcon 9,NROL-57 (~11 Starshield satellites),0,LEO,LEO (Other)
2025-03-24,17:48:00,2025,Falcon 9,NROL-69,0,LEO,LEO (Other)
2025-03-26,22:11:00,2025,Falcon 9,Starlink: Group 11-7,15500,LEO,LEO (Starlink)
2025-03-31,19:52:00,2025,Falcon 9,Starlink: Group 6-80,16100,LEO,LEO (Starlink)
2025-04-01,01:46:00,2025,Falcon 9,Fram2 (Crew Dragon C207-4 Resilience),13000,Polar (Retrograde),Other
2025-04-04,01:02:00,2025,Falcon 9,Starlink: Group 11-13,15500,LEO,LEO (Starlink)
2025-04-06,03:07:00,2025,Falcon 9,Starlink: Group 6-72,16100,LEO,LEO (Starlink)
2025-04-07,23:06:00,2025,Falcon 9,Starlink: Group 11-11,15500,LEO,LEO (Starlink)
2025-04-12,12:25:00,2025,Falcon 9,NROL-192 (22 Starshield satellites),0,LEO,LEO (Other)
2025-04-13,00:53:00,2025,Falcon 9,Starlink: Group 12-17,16500,LEO,LEO (Starlink)
2025-04-14,04:00:00,2025,Falcon 9,Starlink: Group 6-73,15500,LEO,LEO (Starlink)
2025-04-20,12:29:00,2025,Falcon 9,NROL-145 (22 Starshield satellites),0,LEO,LEO (Other)
2025-04-21,08:15:00,2025,Falcon 9,SpaceX CRS-32 (Cargo Dragon C209-5),3021,LEO (ISS),LEO (Other)
2025-04-22,00:48:00,2025,Falcon 9,"Bandwagon-3 (425Sat-3,[326] Tomorrow-S7, PHOENIX)",0,LEO,LEO (Other)
